embedding_run_id,article_embedding_run_id,model_id,chunking_method,chunking_strategy,min_chunks_per_article,num_articles,mean_num_chunks,mean_total_chunk_length,mean_cosine_similarity,median_cosine_similarity,mean_representation_degradation,median_representation_degradation
e5_paragraph,e5_noop,intfloat/multilingual-e5-large,paragraph,paragraph,5,52716,12.409799681311178,3407.7239547765384,0.9470536276360041,0.9481843113899231,0.05294637236399592,0.051815688610076904
e5_recursive_1000,e5_noop,intfloat/multilingual-e5-large,split,split,5,21940,8.25865998176846,5938.291431175934,0.9514892157741102,0.9528171718120575,0.04851078422588985,0.047182828187942505
e5_recursive_1000_0,e5_noop,intfloat/multilingual-e5-large,split,split,5,21706,8.227863263613747,5817.9210356583435,0.9515185133604414,0.9528295397758484,0.04848148663955867,0.04717046022415161
e5_recursive_400,e5_noop,intfloat/multilingual-e5-large,split,split,5,55139,12.681024320354014,3801.389597199804,0.9492276629974578,0.950360894203186,0.05077233700254225,0.049639105796813965
e5_recursive_400_0,e5_noop,intfloat/multilingual-e5-large,split,split,5,54175,12.393022611905861,3538.7016335948315,0.9491173359409256,0.9502062797546387,0.050882664059074344,0.04979372024536133
e5_sentence,e5_noop,intfloat/multilingual-e5-large,sentence,sentence,5,88519,29.774907082095368,2470.1606999627197,0.9254889125989296,0.924742579460144,0.07451108740107035,0.07525742053985596
e5_sentence_4,e5_noop,intfloat/multilingual-e5-large,sentence,sentence,5,59048,13.352950142257146,4304.441285056226,0.9491273403165705,0.9503358602523804,0.050872659683429425,0.04966413974761963
e5_sentence_4_0,e5_noop,intfloat/multilingual-e5-large,sentence,sentence,5,50803,11.414837706434659,3613.778123339173,0.9479049853792088,0.9490966796875,0.05209501462079121,0.0509033203125
e5_token_128,e5_noop,intfloat/multilingual-e5-large,token,token_window_128_overlap_16,5,49218,11.5730830184079,4310.228778089317,0.9520999225296025,0.9538431763648987,0.04790007747039747,0.04615682363510132
e5_token_128_0,e5_noop,intfloat/multilingual-e5-large,token,token_window_128,5,45426,10.815480121516313,3989.898890503236,0.9515522048772838,0.953117311000824,0.048447795122716214,0.046882688999176025
e5_token_256_0,e5_noop,intfloat/multilingual-e5-large,token,token_window_256,5,22321,8.05438824425429,5801.867658259039,0.9528736586233423,0.9543052315711975,0.04712634137665775,0.04569476842880249
e5_token_256_128,e5_noop,intfloat/multilingual-e5-large,token,token_window_256_overlap_128,5,37455,11.053237217994928,8347.953490855694,0.9584783088793314,0.9601911306381226,0.041521691120668655,0.03980886936187744
e5_token_256_192,e5_noop,intfloat/multilingual-e5-large,token,token_window_256_overlap_192,5,50581,16.772424428144955,12887.706549890276,0.9615603609042284,0.9642648696899414,0.038439639095771645,0.035735130310058594
e5_token_256_32,e5_noop,intfloat/multilingual-e5-large,token,token_window_256_overlap_32,5,25322,8.483334649711713,6188.837256140905,0.9534856685458668,0.9550474882125854,0.046514331454133244,0.04495251178741455
e5_token_256_64,e5_noop,intfloat/multilingual-e5-large,token,token_window_256_overlap_64,5,28721,9.062010375683299,6693.768392465443,0.9545097388201307,0.956122636795044,0.045490261179869325,0.043877363204956055
e5_token_32,e5_noop,intfloat/multilingual-e5-large,token,token_window_32,5,90191,26.011863711456797,2484.378740672573,0.920446795182385,0.9209482669830322,0.07955320481761494,0.07905173301696777
